CID,CNm,LID_Lane,LAT,LAD,VID
C001,EK,,0.0,0.0,
C002,AF,,0.0,0.0,
C003,CX,,0.0,0.0,
C004,SQ,,0.0,0.0,
C005,UA,,0.0,0.0,
C006,BA,,0.0,0.0,
C007,LH,,0.0,0.0,
C008,TRK-55-LH,,0.0,0.0,
C009,R-00120783,,0.0,0.0,
C010,TRK-3-NR,,0.0,0.0,
C011,TRK-50-IT,,0.0,0.0,
C012,R-00121048,,0.0,0.0,
C013,TRK-70-SB,,0.0,0.0,
C014,TRK-23-TW,,0.0,0.0,
C015,R-00121757,,0.0,0.0,
C016,TRK-56-SR,,0.0,0.0,
C017,R-00122824,,0.0,0.0,
C018,TRK-64-AS,,0.0,0.0,
C019,TRK-47-EV,,0.0,0.0,
C020,TRK-70-BW,,0.0,0.0,
C021,TRK-12-QX,,0.0,0.0,
C022,TRK-31-JY,,0.0,0.0,
C023,TRK-44-MG,,0.0,0.0,
C024,TRK-41-ZN,,0.0,0.0,
C025,TRK-57-PO,,0.0,0.0,
C026,TRK-26-AV,,0.0,0.0,
C027,R-00124310,,0.0,0.0,
C028,TRK-65-EX,,0.0,0.0,
C029,R-00124388,,0.0,0.0,
C030,TRK-44-EA,,0.0,0.0,
C031,TRK-54-OA,,0.0,0.0,
C032,TRK-73-SM,,0.0,0.0,
C033,TRK-11-YR,,0.0,0.0,
C034,R-00125121,,0.0,0.0,
C035,R-00125128,,0.0,0.0,
C036,TRK-94-TC,,0.0,0.0,
C037,TRK-3-HS,,0.0,0.0,
C038,TRK-98-OD,,0.0,0.0,
C039,TRK-47-FJ,,0.0,0.0,
C040,TRK-59-RJ,,0.0,0.0,
C041,TRK-83-FS,,0.0,0.0,
C042,TRK-75-JW,,0.0,0.0,
C043,TRK-68-XZ,,0.0,0.0,
C044,R-00127087,,0.0,0.0,
C045,TRK-70-ZZ,,0.0,0.0,
C046,R-00127169,,0.0,0.0,
C047,TRK-53-DD,,0.0,0.0,
C048,R-00127179,,0.0,0.0,
C049,TRK-98-CU,,0.0,0.0,
C050,TRK-10-YF,,0.0,0.0,
C051,TRK-32-FS,,0.0,0.0,
C052,R-00128274,,0.0,0.0,
C053,TRK-69-QT,,0.0,0.0,
C054,TRK-79-GJ,,0.0,0.0,
C055,TRK-19-EW,,0.0,0.0,
C056,TRK-28-IA,,0.0,0.0,
C057,R-00129241,,0.0,0.0,
C058,R-00130262,,0.0,0.0,
C059,TRK-77-CS,,0.0,0.0,
C060,R-00130460,,0.0,0.0,
C061,TRK-77-SZ,,0.0,0.0,
C062,R-00130506,,0.0,0.0,
C063,TRK-24-MB,,0.0,0.0,
C064,TRK-92-CE,,0.0,0.0,
C065,R-00131048,,0.0,0.0,
C066,TRK-71-IW,,0.0,0.0,
C067,R-00131050,,0.0,0.0,
C068,TRK-73-KW,,0.0,0.0,
C069,R-00131260,,0.0,0.0,
C070,TRK-85-ME,,0.0,0.0,
C071,TRK-47-GS,,0.0,0.0,
C072,R-00131733,,0.0,0.0,
C073,TRK-63-RW,,0.0,0.0,
C074,TRK-42-RZ,,0.0,0.0,
C075,R-00132093,,0.0,0.0,
C076,TRK-27-NK,,0.0,0.0,
C077,TRK-87-QQ,,0.0,0.0,
C078,R-00132557,,0.0,0.0,
C079,TRK-95-JC,,0.0,0.0,
C080,TRK-12-FS,,0.0,0.0,
C081,TRK-56-XT,,0.0,0.0,
C082,TRK-52-JB,,0.0,0.0,
C083,R-00133337,,0.0,0.0,
C084,TRK-83-JG,,0.0,0.0,
C085,TRK-87-DO,,0.0,0.0,
C086,R-00133732,,0.0,0.0,
C087,TRK-82-OV,,0.0,0.0,
C088,R-00134332,,0.0,0.0,
C089,TRK-88-QS,,0.0,0.0,
C090,R-00134423,,0.0,0.0,
C091,TRK-80-DW,,0.0,0.0,
C092,R-00135779,,0.0,0.0,
C093,TRK-50-HW,,0.0,0.0,
C094,TRK-47-UD,,0.0,0.0,
C095,R-00136961,,0.0,0.0,
C096,TRK-44-TP,,0.0,0.0,
C097,TRK-54-TX,,0.0,0.0,
C098,R-00137951,,0.0,0.0,
C099,TRK-48-UF,,0.0,0.0,
C100,R-00139009,,0.0,0.0,
C101,TRK-13-NQ,,0.0,0.0,
C102,TRK-31-QC,,0.0,0.0,
C103,TRK-78-BM,,0.0,0.0,
C104,R-00139853,,0.0,0.0,
C105,TRK-65-ZW,,0.0,0.0,
C106,TRK-81-WF,,0.0,0.0,
C107,R-00140802,,0.0,0.0,
C108,TRK-24-MH,,0.0,0.0,
