Ext_ID,Factors,Severity_Score,LID
EXT-L0001,Normal,7,L0001
EXT-L0002,Weather,13,L0002
EXT-L0003,Weather,13,L0003
EXT-L0004,Weather,9,L0004
EXT-L0005,Weather,13,L0005
EXT-L0006,Weather,13,L0006
EXT-L0007,Weather,12,L0007
EXT-L0008,Weather,13,L0008
EXT-L0009,Weather,12,L0009
EXT-L0010,Normal,17,L0010
EXT-L0011,Weather,12,L0011
EXT-L0012,Normal,7,L0012
EXT-L0013,Normal,9,L0013
EXT-L0014,Normal,11,L0014
EXT-L0015,Weather,12,L0015
EXT-L0016,Weather,13,L0016
EXT-L0017,Weather,13,L0017
EXT-L0018,Weather,14,L0018
EXT-L0019,Weather,14,L0019
EXT-L0020,Weather,13,L0020
EXT-L0021,Weather,13,L0021
EXT-L0022,Weather,8,L0022
EXT-L0023,Weather,13,L0023
EXT-L0024,Weather,12,L0024
EXT-L0025,Weather,12,L0025
EXT-L0026,Weather,11,L0026
EXT-L0027,Weather,12,L0027
EXT-L0028,Weather,13,L0028
EXT-L0029,Weather,12,L0029
EXT-L0030,Normal,11,L0030
EXT-L0031,Normal,8,L0031
EXT-L0032,Weather,11,L0032
EXT-L0033,Weather,13,L0033
EXT-L0034,Weather,13,L0034
EXT-L0035,Normal,14,L0035
EXT-L0036,Normal,14,L0036
EXT-L0037,Weather,12,L0037
EXT-L0038,Normal,12,L0038
EXT-L0039,Weather,13,L0039
EXT-L0040,Weather,12,L0040
EXT-L0041,Weather,13,L0041
EXT-L0042,Weather,13,L0042
EXT-L0043,Weather,10,L0043
EXT-L0044,Normal,22,L0044
EXT-L0045,Weather,13,L0045
EXT-L0046,Weather,13,L0046
EXT-L0047,Weather,12,L0047
EXT-L0048,Weather,14,L0048
EXT-L0049,Normal,13,L0049
EXT-L0050,Weather,13,L0050
EXT-L0051,Weather,9,L0051
EXT-L0052,Normal,8,L0052
EXT-L0053,Weather,13,L0053
EXT-L0054,Weather,13,L0054
EXT-L0055,Weather,13,L0055
EXT-L0056,Weather,13,L0056
EXT-L0057,Weather,14,L0057
EXT-L0058,Weather,13,L0058
EXT-L0059,Weather,13,L0059
EXT-L0060,Normal,15,L0060
EXT-L0061,Weather,13,L0061
EXT-L0062,Weather,13,L0062
EXT-L0063,Weather,13,L0063
EXT-L0064,Weather,14,L0064
EXT-L0065,Weather,12,L0065
EXT-L0066,Weather,13,L0066
EXT-L0067,Weather,12,L0067
EXT-L0068,Normal,10,L0068
EXT-L0069,Weather,12,L0069
EXT-L0070,Weather,15,L0070
EXT-L0071,Weather,15,L0071
EXT-L0072,Weather,13,L0072
EXT-L0073,Weather,12,L0073
EXT-L0074,Weather,11,L0074
EXT-L0075,Weather,18,L0075
EXT-L0076,Weather,13,L0076
EXT-L0077,Weather,11,L0077
EXT-L0078,Normal,11,L0078
EXT-L0079,Weather,12,L0079
EXT-L0080,Weather,9,L0080
EXT-L0081,Normal,11,L0081
EXT-L0082,Normal,7,L0082
EXT-L0083,Weather,10,L0083
EXT-L0084,Normal,6,L0084
EXT-L0085,Weather,14,L0085
EXT-L0086,Weather,12,L0086
EXT-L0087,Normal,5,L0087
EXT-L0088,Weather,13,L0088
EXT-L0089,Weather,13,L0089
EXT-L0090,Weather,13,L0090
EXT-L0091,Normal,6,L0091
EXT-L0092,Normal,9,L0092
EXT-L0093,Normal,10,L0093
EXT-L0094,Weather,13,L0094
EXT-L0095,Weather,12,L0095
EXT-L0096,Weather,13,L0096
EXT-L0097,Weather,11,L0097
EXT-L0098,Weather,13,L0098
EXT-L0099,Weather,13,L0099
EXT-L0100,Weather,12,L0100
EXT-L0101,Weather,12,L0101
EXT-L0102,Weather,13,L0102
EXT-L0103,Weather,11,L0103
EXT-L0104,Normal,12,L0104
EXT-L0105,Weather,13,L0105
EXT-L0106,Weather,12,L0106
EXT-L0107,Normal,16,L0107
EXT-L0108,Weather,12,L0108
EXT-L0109,Normal,7,L0109
EXT-L0110,Weather,13,L0110
EXT-L0111,Weather,12,L0111
EXT-L0112,Normal,6,L0112
EXT-L0113,Weather,10,L0113
EXT-L0114,Weather,12,L0114
EXT-L0115,Weather,13,L0115
