LID,POL,POD,AA_Time_Actual_Arrival,AA_Delay,COUNTRY
L0001,GBMAN,CNNGB,,0.0,CN
L0002,CNCAN,GBLHR,,0.0,GB
L0003,INDEL,GBMAN,,0.0,GB
L0004,USSAN,GBMAN,,0.0,GB
L0005,HKHKG,GBLHR,,0.0,GB
L0006,KRICN,GBLHR,,0.0,GB
L0007,GBLHR,USSDF,,0.0,US
L0008,CNPVG,GBLHR,,0.0,GB
L0009,INMAA,GBMAN,,0.0,GB
L0010,GBMAN,ESTFS,,0.0,ES
L0011,USLAX,GBLHR,,0.0,GB
L0012,CNCAN,HKHKG,,0.0,HK
L0013,KRICN,PLWAW,,0.0,PL
L0014,TWTPE,USMIA,,0.0,US
L0015,GBSTN,JPNRT,,0.0,JP
L0016,CNBJS,GBLHR,,0.0,GB
L0017,BDDAC,GBLHR,,0.0,GB
L0018,CNXMN,GBMAN,,0.0,GB
L0019,USJFK,GBLHR,,0.0,GB
L0020,GBMAN,HKHKG,,0.0,HK
L0021,GBLHR,TWTPE,,0.0,TW
L0022,USJFK,PLWAW,,0.0,PL
L0023,CNTAO,GBLHR,,0.0,GB
L0024,KRICN,GBMAN,,0.0,GB
L0025,USMIA,GBMAN,,0.0,GB
L0026,USSAN,GBLHR,,0.0,GB
L0027,GBMAN,CNPVG,,0.0,CN
L0028,USEWR,GBLHR,,0.0,GB
L0029,USJFK,GBMAN,,0.0,GB
L0030,GBMAN,USSDF,,0.0,US
L0031,FRCDG,AUMEL,,0.0,AU
L0032,TWTPE,GBMAN,,0.0,GB
L0033,GBLHR,CNPVG,,0.0,CN
L0034,GBMAN,AEDXB,,0.0,AE
L0035,USABY,GBMAN,,0.0,GB
L0036,GBMAN,USLAX,,0.0,US
L0037,INMAA,GBLHR,,0.0,GB
L0038,USEWR,PLWAW,,0.0,PL
L0039,GBMAN,TWTPE,,0.0,TW
L0040,CNSGH,GBLHR,,0.0,GB
L0041,TWTPE,GBLHR,,0.0,GB
L0042,GBLHR,QADOH,,0.0,QA
L0043,PKKHI,GBLHR,,0.0,GB
L0044,USORD,AUSYD,,0.0,AU
L0045,CNCGO,GBLHR,,0.0,GB
L0046,CNPVG,GBMAN,,0.0,GB
L0047,PKLHE,GBMAN,,0.0,GB
L0048,GBMAN,MVMLE,,0.0,MV
L0049,ITSWK,USCLT,,0.0,US
L0050,USSDF,GBLHR,,0.0,GB
L0051,CNCAN,AUMEL,,0.0,AU
L0052,KRICN,SGSIN,,0.0,SG
L0053,CNCAN,GBSTN,,0.0,GB
L0054,VNSGN,GBLHR,,0.0,GB
L0055,CNBJS,GBMAN,,0.0,GB
L0056,GBLHR,CNCAN,,0.0,CN
L0057,GBLHR,USMIA,,0.0,US
L0058,CNXMN,GBLHR,,0.0,GB
L0059,GBLHR,JPNRT,,0.0,JP
L0060,PKKHI,FRCDG,,0.0,FR
L0061,MUMRU,GBLHR,,0.0,GB
L0062,GBLHR,AUSYD,,0.0,AU
L0063,CNCAN,GBMAN,,0.0,GB
L0064,GBLHR,MVMLE,,0.0,MV
L0065,CNWUH,GBLHR,,0.0,GB
L0066,BDDAC,GBMAN,,0.0,GB
L0067,CNSZX,GBLHR,,0.0,GB
L0068,FRCDG,AUSYD,,0.0,AU
L0069,PKKHI,GBMAN,,0.0,GB
L0070,USIAH,GBLHR,,0.0,GB
L0071,QADOH,GBLHR,,0.0,GB
L0072,GBLHR,VNSGN,,0.0,VN
L0073,TRIST,GBLHR,,0.0,GB
L0074,GBLHR,AUMEL,,0.0,AU
L0075,USCHI,GBLHR,,0.0,GB
L0076,GBLHR,SGSIN,,0.0,SG
L0077,GBMAN,BHBAH,,0.0,BH
L0078,ESMAD,USSDF,,0.0,US
L0079,GBLHR,AEDXB,,0.0,AE
L0080,GBLHR,BEANR,,0.0,BE
L0081,CAYUL,USIAH,,0.0,US
L0082,PLWAW,USSDF,,0.0,US
L0083,GBLHR,CNTAO,,0.0,CN
L0084,USLAX,PLWAW,,0.0,PL
L0085,CNSZX,GBMAN,,0.0,GB
L0086,GBLHR,CNNGB,,0.0,CN
L0087,USBOS,DEHAM,,0.0,DE
L0088,GBLHR,GBMAN,,0.0,GB
L0089,GBLHR,CNBJS,,0.0,CN
L0090,THBKK,GBLHR,,0.0,GB
L0091,ZACPT,GBLHR,,0.0,GB
L0092,GBMAN,MXMEX,,0.0,MX
L0093,GBLHR,JPKIX,,0.0,JP
L0094,USORD,GBLHR,,0.0,GB
L0095,CNTNA,GBLHR,,0.0,GB
L0096,GBLHR,HKHKG,,0.0,HK
L0097,GBLHR,NZAKL,,0.0,NZ
L0098,GBLHR,THBKK,,0.0,TH
L0099,INDEL,GBLHR,,0.0,GB
L0100,CNTXG,GBLHR,,0.0,GB
L0101,INAMD,GBLHR,,0.0,GB
L0102,CNTSN,GBLHR,,0.0,GB
L0103,CNTXG,GBSTN,,0.0,GB
L0104,QADOH,GBMAN,,0.0,GB
L0105,CNFOC,GBLHR,,0.0,GB
L0106,VNHAN,GBLHR,,0.0,GB
L0107,AUSYD,USSDF,,0.0,US
L0108,MUMRU,GBMAN,,0.0,GB
L0109,CNCAN,USSDF,,0.0,US
L0110,FRCDG,USJFK,,0.0,US
L0111,FRCDG,USEWR,,0.0,US
L0112,CNPVG,SGSIN,,0.0,SG
L0113,MYPEN,TWTPE,,0.0,TW
L0114,AUSYD,GBLHR,,0.0,GB
L0115,GBLHR,INAMD,,0.0,IN
L0116,USATL,GBLHR,,0.0,GB
L0117,GBMAN,THBKK,,0.0,TH
L0118,CNPVG,FRCDG,,0.0,FR
L0119,CNQDG,GBLHR,,0.0,GB
L0120,CNCGU,GBLHR,,0.0,GB
L0121,CNWUX,GBLHR,,0.0,GB
L0122,GBMAN,SGSIN,,0.0,SG
L0123,USDFW,USLAX,,0.0,US
L0124,GBLHR,CAYYZ,,0.0,CA
L0125,MYKUL,GBLHR,,0.0,GB
L0126,USLAX,GBMAN,,0.0,GB
L0127,GBLHR,KWKWI,,0.0,KW
L0128,USDFW,NLAMS,,0.0,NL
L0129,HKHKG,NLAMS,,0.0,NL
L0130,GBLHR,USMCI,,0.0,US
L0131,THBKK,GBMAN,,0.0,GB
L0132,CNHGH,GBLHR,,0.0,GB
L0133,GBMAN,KHPNH,,0.0,KH
L0134,AEAUH,GBLHR,,0.0,GB
L0135,GBLHR,USLAX,,0.0,US
L0136,GBLHR,USCVG,,0.0,US
L0137,USLAX,NLAMS,,0.0,NL
L0138,CNCTU,GBLHR,,0.0,GB
L0139,USMCI,GBLHR,,0.0,GB
L0140,PKSKT,GBMAN,,0.0,GB
L0141,GBMAN,INDEL,,0.0,IN
L0142,GBLHR,PKKHI,,0.0,PK
L0143,CNCAN,IEDUB,,0.0,IE
L0144,GBLHR,GTGUA,,0.0,GT
L0145,HKHKG,AUBNE,,0.0,AU
L0146,PLWAW,CNNGB,,0.0,CN
L0147,GBLHR,MYKUL,,0.0,MY
L0148,TRIST,SGSIN,,0.0,SG
L0149,USLAX,USLAX,,0.0,US
L0150,TRIST,GBSTN,,0.0,GB
L0151,VNSGN,GBMAN,,0.0,GB
L0152,GBMAN,MXZLO,,0.0,MX
L0153,LKCMB,GBMAN,,0.0,GB
L0154,INBOM,GBLHR,,0.0,GB
L0155,CZPRG,USLAX,,0.0,US
L0156,USORD,GBMAN,,0.0,GB
L0157,GBMAN,QADOH,,0.0,QA
L0158,DEFRA,JPNRT,,0.0,JP
L0159,CAYYZ,GBLHR,,0.0,GB
L0160,CAYYT,GBLHR,,0.0,GB
L0161,FRCDG,USSDF,,0.0,US
L0162,GBLHR,USORD,,0.0,US
L0163,CNPVG,SEMMA,,0.0,SE
L0164,GBLHR,LKCMB,,0.0,LK
L0165,GBBHX,AUMEL,,0.0,AU
L0166,DEFRA,USCVG,,0.0,US
L0167,USDFW,GBLHR,,0.0,GB
L0168,USIAH,USLAX,,0.0,US
L0169,GBLHR,INBOM,,0.0,IN
L0170,CNCAN,FRCDG,,0.0,FR
L0171,DEHHN,CNNGB,,0.0,CN
L0172,CNCKG,GBLHR,,0.0,GB
L0173,GBLHR,USDFW,,0.0,US
L0174,ECGYQ,GBLHR,,0.0,GB
L0175,FRCDG,GBLHR,,0.0,GB
L0176,GBMAN,USDFW,,0.0,US
L0177,CNNKG,ITSWK,,0.0,IT
L0178,PKLHE,GBLHR,,0.0,GB
L0179,GBLHR,JPOKA,,0.0,JP
L0180,HKHKG,SESTO,,0.0,SE
L0181,CNPVG,ITCTA,,0.0,IT
L0182,CNPVG,AEDXB,,0.0,AE
L0183,CNSZX,CNCAN,,0.0,CN
L0184,PLWAW,SGSIN,,0.0,SG
L0185,ILTLV,GBLHR,,0.0,GB
L0186,CNKHN,GBLHR,,0.0,GB
L0187,AUPER,GBLHR,,0.0,GB
L0188,GBLHR,JPHMD,,0.0,JP
L0189,ECGYQ,GBMAN,,0.0,GB
L0190,GBMAN,VNSGN,,0.0,VN
L0191,GBLHR,SEMMA,,0.0,SE
L0192,GBMAN,JPNRT,,0.0,JP
L0193,JPNRT,GBLHR,,0.0,GB
L0194,LKCMB,GBLHR,,0.0,GB
L0195,GBLHR,AUADL,,0.0,AU
L0196,CNCAN,USMIA,,0.0,US
L0197,USDET,GBLHR,,0.0,GB
L0198,CAYEG,GBLHR,,0.0,GB
L0199,CNPVG,LTKLJ,,0.0,LT
L0200,ECDUN,GBMAN,,0.0,GB
L0201,CNPVG,GBSTN,,0.0,GB
L0202,AUMEL,GBLHR,,0.0,GB
L0203,GBLHR,CNHGH,,0.0,CN
L0204,CNPVG,USCVG,,0.0,US
L0205,GBMAN,IDJKT,,0.0,ID
L0206,INCCU,GBLHR,,0.0,GB
L0207,GBLHR,CAYVR,,0.0,CA
L0208,CNCAN,PLWAW,,0.0,PL
L0209,GBLHR,GBLHR,,0.0,GB
