VID,VNm,VType,V_Avg_Time,V_Avg_Delay,Voyage
V0001,EK AIR 1,AIR,0.0,0.0,VOY-8295
V0002,EK AIR 2,AIR,0.0,0.0,VOY-3817
V0003,EK AIR 3,AIR,0.0,0.0,VOY-7743
V0004,EK AIR 4,AIR,0.0,0.0,VOY-2694
V0005,EK AIR 5,AIR,0.0,0.0,VOY-3172
V0006,AF AIR 1,AIR,0.0,0.0,VOY-9756
V0007,AF AIR 2,AIR,0.0,0.0,VOY-9291
V0008,AF AIR 3,AIR,0.0,0.0,VOY-1392
V0009,AF AIR 4,AIR,0.0,0.0,VOY-3247
V0010,AF AIR 5,AIR,0.0,0.0,VOY-5566
V0011,CX AIR 1,AIR,0.0,0.0,VOY-1972
V0012,CX AIR 2,AIR,0.0,0.0,VOY-2545
V0013,CX AIR 3,AIR,0.0,0.0,VOY-5742
V0014,CX AIR 4,AIR,0.0,0.0,VOY-9129
V0015,CX AIR 5,AIR,0.0,0.0,VOY-1881
V0016,SQ AIR 1,AIR,0.0,0.0,VOY-9624
V0017,SQ AIR 2,AIR,0.0,0.0,VOY-1920
V0018,SQ AIR 3,AIR,0.0,0.0,VOY-3299
V0019,SQ AIR 4,AIR,0.0,0.0,VOY-5510
V0020,SQ AIR 5,AIR,0.0,0.0,VOY-9908
V0021,UA AIR 1,AIR,0.0,0.0,VOY-5626
V0022,UA AIR 2,AIR,0.0,0.0,VOY-1953
V0023,UA AIR 3,AIR,0.0,0.0,VOY-2050
V0024,UA AIR 4,AIR,0.0,0.0,VOY-9571
V0025,UA AIR 5,AIR,0.0,0.0,VOY-8412
V0026,BA AIR 1,AIR,0.0,0.0,VOY-1410
V0027,BA AIR 2,AIR,0.0,0.0,VOY-9502
V0028,BA AIR 3,AIR,0.0,0.0,VOY-9552
V0029,BA AIR 4,AIR,0.0,0.0,VOY-3820
V0030,BA AIR 5,AIR,0.0,0.0,VOY-7706
V0031,LH AIR 1,AIR,0.0,0.0,VOY-2211
V0032,LH AIR 2,AIR,0.0,0.0,VOY-8092
V0033,LH AIR 3,AIR,0.0,0.0,VOY-3409
V0034,LH AIR 4,AIR,0.0,0.0,VOY-2260
V0035,LH AIR 5,AIR,0.0,0.0,VOY-7323
V0036,TRK-55-LH ROAD 1,ROAD,0.0,0.0,VOY-7311
V0037,TRK-55-LH ROAD 2,ROAD,0.0,0.0,VOY-9092
V0038,TRK-55-LH ROAD 3,ROAD,0.0,0.0,VOY-2301
V0039,TRK-55-LH ROAD 4,ROAD,0.0,0.0,VOY-8110
V0040,TRK-55-LH ROAD 5,ROAD,0.0,0.0,VOY-4172
V0041,R-00120783 RAIL 1,RAIL,0.0,0.0,VOY-6974
V0042,R-00120783 RAIL 2,RAIL,0.0,0.0,VOY-7168
V0043,R-00120783 RAIL 3,RAIL,0.0,0.0,VOY-5457
V0044,R-00120783 RAIL 4,RAIL,0.0,0.0,VOY-7535
V0045,R-00120783 RAIL 5,RAIL,0.0,0.0,VOY-3577
V0046,TRK-3-NR ROAD 1,ROAD,0.0,0.0,VOY-9008
V0047,TRK-3-NR ROAD 2,ROAD,0.0,0.0,VOY-8587
V0048,TRK-3-NR ROAD 3,ROAD,0.0,0.0,VOY-7985
V0049,TRK-3-NR ROAD 4,ROAD,0.0,0.0,VOY-5120
V0050,TRK-3-NR ROAD 5,ROAD,0.0,0.0,VOY-6516
V0051,TRK-50-IT ROAD 1,ROAD,0.0,0.0,VOY-6821
V0052,TRK-50-IT ROAD 2,ROAD,0.0,0.0,VOY-6325
V0053,TRK-50-IT ROAD 3,ROAD,0.0,0.0,VOY-7930
V0054,TRK-50-IT ROAD 4,ROAD,0.0,0.0,VOY-9530
V0055,TRK-50-IT ROAD 5,ROAD,0.0,0.0,VOY-6304
V0056,R-00121048 RAIL 1,RAIL,0.0,0.0,VOY-4361
V0057,R-00121048 RAIL 2,RAIL,0.0,0.0,VOY-3379
V0058,R-00121048 RAIL 3,RAIL,0.0,0.0,VOY-8085
V0059,R-00121048 RAIL 4,RAIL,0.0,0.0,VOY-8070
V0060,R-00121048 RAIL 5,RAIL,0.0,0.0,VOY-2449
V0061,TRK-70-SB ROAD 1,ROAD,0.0,0.0,VOY-5389
V0062,TRK-70-SB ROAD 2,ROAD,0.0,0.0,VOY-3082
V0063,TRK-70-SB ROAD 3,ROAD,0.0,0.0,VOY-7897
V0064,TRK-70-SB ROAD 4,ROAD,0.0,0.0,VOY-1909
V0065,TRK-70-SB ROAD 5,ROAD,0.0,0.0,VOY-4560
V0066,TRK-23-TW ROAD 1,ROAD,0.0,0.0,VOY-8580
V0067,TRK-23-TW ROAD 2,ROAD,0.0,0.0,VOY-6378
V0068,TRK-23-TW ROAD 3,ROAD,0.0,0.0,VOY-3060
V0069,TRK-23-TW ROAD 4,ROAD,0.0,0.0,VOY-4334
V0070,TRK-23-TW ROAD 5,ROAD,0.0,0.0,VOY-7132
